FEN,Evaluation
r1bqkbnr/pp1ppppp/2n5/8/3QP3/8/PPP2PPP/RNB1KBNR w KQkq - 1 4,"{'type': 'cp', 'value': 16}"
r1bqkbnr/pp1ppppp/2n5/8/Q3P3/8/PPP2PPP/RNB1KBNR b KQkq - 2 4,"{'type': 'cp', 'value': -4}"
r1bqkb1r/pp1ppppp/2n2n2/8/Q3P3/8/PPP2PPP/RNB1KBNR w KQkq - 3 5,"{'type': 'cp', 'value': 13}"
r1bqkb1r/pp1ppppp/2n2n2/8/Q3P3/2N5/PPP2PPP/R1B1KBNR b KQkq - 4 5,"{'type': 'cp', 'value': 0}"
r1bqkb1r/pp1ppp1p/2n2np1/8/Q3P3/2N5/PPP2PPP/R1B1KBNR w KQkq - 0 6,"{'type': 'cp', 'value': 28}"
r1bqkb1r/pp1ppp1p/2n2np1/8/Q3P3/2N2N2/PPP2PPP/R1B1KB1R b KQkq - 1 6,"{'type': 'cp', 'value': 30}"
r1bqk2r/pp1pppbp/2n2np1/8/Q3P3/2N2N2/PPP2PPP/R1B1KB1R w KQkq - 2 7,"{'type': 'cp', 'value': 128}"
r1bqk2r/pp1pppbp/2n2np1/1B6/Q3P3/2N2N2/PPP2PPP/R1B1K2R b KQkq - 3 7,"{'type': 'cp', 'value': 44}"
r1bq1rk1/pp1pppbp/2n2np1/1B6/Q3P3/2N2N2/PPP2PPP/R1B1K2R w KQ - 4 8,"{'type': 'cp', 'value': 50}"
r1bq1rk1/pp1pppbp/2n2np1/1B6/Q3P3/2N2N2/PPP2PPP/R1B2RK1 b - - 5 8,"{'type': 'cp', 'value': -3}"
r1bq1rk1/1p1pppbp/p1n2np1/1B6/Q3P3/2N2N2/PPP2PPP/R1B2RK1 w - - 0 9,"{'type': 'cp', 'value': 69}"
r1bq1rk1/1p1pppbp/p1n2np1/1B4B1/Q3P3/2N2N2/PPP2PPP/R4RK1 b - - 1 9,"{'type': 'cp', 'value': -28}"
r1bq1rk1/1p1pppbp/2n2np1/1p4B1/Q3P3/2N2N2/PPP2PPP/R4RK1 w - - 0 10,"{'type': 'cp', 'value': 151}"
Q1bq1rk1/1p1pppbp/2n2np1/1p4B1/4P3/2N2N2/PPP2PPP/R4RK1 b - - 0 10,"{'type': 'cp', 'value': 158}"
Q1bq1rk1/1p2ppbp/2n2np1/1p1p2B1/4P3/2N2N2/PPP2PPP/R4RK1 w - - 0 11,"{'type': 'cp', 'value': 216}"
Q1bq1rk1/1p2ppbp/2n2np1/1p1p2B1/4P3/2N2N2/PPP2PPP/1R3RK1 b - - 1 11,"{'type': 'cp', 'value': -201}"
Q1bq1rk1/1p2ppbp/2n2np1/1p4B1/4p3/2N2N2/PPP2PPP/1R3RK1 w - - 0 12,"{'type': 'cp', 'value': 60}"
Q1bq1rk1/1p2ppbp/2n2np1/1p4B1/4p3/2N2N2/PPP2PPP/3R1RK1 b - - 1 12,"{'type': 'cp', 'value': -100}"
Q1b2rk1/1p2ppbp/2n2np1/qp4B1/4p3/2N2N2/PPP2PPP/3R1RK1 w - - 2 13,"{'type': 'cp', 'value': 180}"
2b2rk1/1p2ppbp/2n2np1/Qp4B1/4p3/2N2N2/PPP2PPP/3R1RK1 b - - 0 13,"{'type': 'cp', 'value': 157}"
2b2rk1/1p2ppbp/5np1/np4B1/4p3/2N2N2/PPP2PPP/3R1RK1 w - - 0 14,"{'type': 'cp', 'value': 170}"
2b2rk1/1p2ppbp/5np1/nN4B1/4p3/5N2/PPP2PPP/3R1RK1 b - - 0 14,"{'type': 'cp', 'value': -325}"
2b2rk1/1p2ppbp/5np1/nN4B1/8/5p2/PPP2PPP/3R1RK1 w - - 0 15,"{'type': 'cp', 'value': -300}"
2b2rk1/1p2ppbp/5np1/nN4B1/8/5P2/PPP2P1P/3R1RK1 b - - 0 15,"{'type': 'cp', 'value': -334}"
2b2rk1/1p2ppbp/5np1/1N4B1/2n5/5P2/PPP2P1P/3R1RK1 w - - 1 16,"{'type': 'cp', 'value': -233}"
2b2rk1/Np2ppbp/5np1/6B1/2n5/5P2/PPP2P1P/3R1RK1 b - - 2 16,"{'type': 'cp', 'value': -344}"
2b2rk1/Np2ppbp/5np1/6B1/8/5P2/PnP2P1P/3R1RK1 w - - 0 17,"{'type': 'cp', 'value': -309}"
2b2rk1/Np2ppbp/5np1/6B1/8/5P2/PnP2P1P/1R3RK1 b - - 1 17,"{'type': 'cp', 'value': -307}"
2b2rk1/Np2ppbp/5np1/6B1/2n5/5P2/P1P2P1P/1R3RK1 w - - 2 18,"{'type': 'cp', 'value': -248}"
2b2rk1/Np2ppbp/5np1/6B1/1Rn5/5P2/P1P2P1P/5RK1 b - - 3 18,"{'type': 'cp', 'value': -396}"
2b2rk1/Np2ppbp/5np1/6B1/1R6/5P2/P1Pn1P1P/5RK1 w - - 4 19,"{'type': 'cp', 'value': 236}"
2b2rk1/Np2ppbp/5np1/6B1/1R6/5P2/P1Pn1P1P/3R2K1 b - - 5 19,"{'type': 'cp', 'value': -499}"
2b2rk1/Np2ppbp/5np1/6B1/1R6/5n2/P1P2P1P/3R2K1 w - - 0 20,"{'type': 'cp', 'value': -494}"
2b2rk1/Np2ppbp/5np1/6B1/1R6/5n2/P1P2P1P/3R1K2 b - - 1 20,"{'type': 'cp', 'value': -612}"
2b2rk1/Np2ppbp/5np1/6B1/1R6/8/P1P2P1n/3R1K2 w - - 0 21,"{'type': 'cp', 'value': -297}"
2b2rk1/Np2ppbp/5np1/6B1/1R6/8/P1P2P1n/3R2K1 b - - 1 21,"{'type': 'cp', 'value': -573}"
2b2rk1/Np2ppbp/5np1/6B1/1R6/5n2/P1P2P2/3R2K1 w - - 2 22,"{'type': 'cp', 'value': -537}"
2b2rk1/Np2ppbp/5np1/6B1/1R6/5n2/P1P2PK1/3R4 b - - 3 22,"{'type': 'cp', 'value': -535}"
2b2rk1/Np2ppbp/5np1/6n1/1R6/8/P1P2PK1/3R4 w - - 0 23,"{'type': 'cp', 'value': -571}"
2b2rk1/Np2ppbp/5np1/6n1/3R4/8/P1P2PK1/3R4 b - - 1 23,"{'type': 'cp', 'value': -709}"
5rk1/Np2ppbp/5np1/6n1/3R4/7b/P1P2PK1/3R4 w - - 2 24,"{'type': 'cp', 'value': -696}"
5rk1/Np2ppbp/5np1/6n1/3R4/6Kb/P1P2P2/3R4 b - - 3 24,"{'type': 'cp', 'value': -841}"
5rk1/Np2ppbp/5np1/8/3Rn3/6Kb/P1P2P2/3R4 w - - 4 25,"{'type': 'cp', 'value': -659}"
5rk1/Np2ppbp/5np1/8/3Rn3/7K/P1P2P2/3R4 b - - 0 25,"{'type': 'cp', 'value': -604}"
5rk1/Np2ppbp/5np1/8/3R4/7K/P1P2n2/3R4 w - - 0 26,"{'type': 'cp', 'value': -634}"
5rk1/Np2ppbp/5np1/8/3R4/8/P1P2nK1/3R4 b - - 1 26,"{'type': 'cp', 'value': -646}"
5rk1/Np2ppbp/5np1/8/3R4/8/P1P3K1/3n4 w - - 0 27,"{'type': 'cp', 'value': -656}"
5rk1/Np2ppbp/5np1/8/8/8/P1P3K1/3R4 b - - 0 27,"{'type': 'cp', 'value': -644}"
5rk1/Np2ppbp/6p1/8/4n3/8/P1P3K1/3R4 w - - 1 28,"{'type': 'cp', 'value': -592}"
5rk1/Np2ppbp/6p1/8/3Rn3/8/P1P3K1/8 b - - 2 28,"{'type': 'cp', 'value': -834}"
5rk1/Np2ppbp/6p1/8/3R4/2n5/P1P3K1/8 w - - 3 29,"{'type': 'cp', 'value': -546}"
5rk1/Np2ppbp/6p1/8/1R6/2n5/P1P3K1/8 b - - 4 29,"{'type': 'cp', 'value': -543}"
5rk1/Np2ppbp/6p1/8/1R6/8/n1P3K1/8 w - - 0 30,"{'type': 'cp', 'value': -520}"
5rk1/NR2ppbp/6p1/8/8/8/n1P3K1/8 b - - 0 30,"{'type': 'cp', 'value': -536}"
5rk1/NR2ppbp/6p1/8/8/2n5/2P3K1/8 w - - 1 31,"{'type': 'cp', 'value': -532}"
5rk1/N3Rpbp/6p1/8/8/2n5/2P3K1/8 b - - 0 31,"{'type': 'cp', 'value': -539}"
5rk1/N3Rpbp/6p1/3n4/8/8/2P3K1/8 w - - 1 32,"{'type': 'cp', 'value': -510}"
5rk1/N1R2pbp/6p1/3n4/8/8/2P3K1/8 b - - 2 32,"{'type': 'cp', 'value': -717}"
5rk1/N1n2pbp/6p1/8/8/8/2P3K1/8 w - - 0 33,"{'type': 'cp', 'value': -746}"
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,"{'type': 'cp', 'value': 39}"
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"{'type': 'cp', 'value': 35}"
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"{'type': 'cp', 'value': 42}"
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,"{'type': 'cp', 'value': 28}"
rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,"{'type': 'cp', 'value': 31}"
rnbqkbnr/pp2pppp/3p4/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,"{'type': 'cp', 'value': 10}"
rn1qkbnr/pp1bpppp/3p4/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 4,"{'type': 'cp', 'value': 7}"
rn1qkbnr/pp1Bpppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 0 4,"{'type': 'cp', 'value': 15}"
r2qkbnr/pp1npppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 5,"{'type': 'cp', 'value': 12}"
r2qkbnr/pp1npppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 1 5,"{'type': 'cp', 'value': 10}"
r2qkb1r/pp1npppp/3p1n2/2p5/4P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 2 6,"{'type': 'cp', 'value': 24}"
r2qkb1r/pp1npppp/3p1n2/2p5/4P3/2N2N2/PPPP1PPP/R1BQ1RK1 b kq - 3 6,"{'type': 'cp', 'value': 13}"
r2qkb1r/pp1npp1p/3p1np1/2p5/4P3/2N2N2/PPPP1PPP/R1BQ1RK1 w kq - 0 7,"{'type': 'cp', 'value': 20}"
r2qkb1r/pp1npp1p/3p1np1/2p5/4P3/2NP1N2/PPP2PPP/R1BQ1RK1 b kq - 0 7,"{'type': 'cp', 'value': 17}"
r2qk2r/pp1nppbp/3p1np1/2p5/4P3/2NP1N2/PPP2PPP/R1BQ1RK1 w kq - 1 8,"{'type': 'cp', 'value': 17}"
r2qk2r/pp1nppbp/3p1np1/2p3B1/4P3/2NP1N2/PPP2PPP/R2Q1RK1 b kq - 2 8,"{'type': 'cp', 'value': 1}"
r2q1rk1/pp1nppbp/3p1np1/2p3B1/4P3/2NP1N2/PPP2PPP/R2Q1RK1 w - - 3 9,"{'type': 'cp', 'value': 32}"
r2q1rk1/pp1nppbp/3p1np1/2pN2B1/4P3/3P1N2/PPP2PPP/R2Q1RK1 b - - 4 9,"{'type': 'cp', 'value': -36}"
r2q1rk1/pp1nppbp/3p2p1/2pn2B1/4P3/3P1N2/PPP2PPP/R2Q1RK1 w - - 0 10,"{'type': 'cp', 'value': -47}"
r2q1rk1/pp1nppbp/3p2p1/2pP2B1/8/3P1N2/PPP2PPP/R2Q1RK1 b - - 0 10,"{'type': 'cp', 'value': -63}"
r2q1rk1/pp1npp1p/3p2p1/2pP2B1/8/3P1N2/PbP2PPP/R2Q1RK1 w - - 0 11,"{'type': 'cp', 'value': -29}"
r2q1rk1/pp1npp1p/3p2pB/2pP4/8/3P1N2/PbP2PPP/R2Q1RK1 b - - 1 11,"{'type': 'cp', 'value': -167}"
r2q1rk1/pp1nppbp/3p2pB/2pP4/8/3P1N2/P1P2PPP/R2Q1RK1 w - - 2 12,"{'type': 'cp', 'value': -102}"
r2q1rk1/pp1nppBp/3p2p1/2pP4/8/3P1N2/P1P2PPP/R2Q1RK1 b - - 0 12,"{'type': 'cp', 'value': -78}"
r2q1r2/pp1nppkp/3p2p1/2pP4/8/3P1N2/P1P2PPP/R2Q1RK1 w - - 0 13,"{'type': 'cp', 'value': -76}"
r2q1r2/pp1nppkp/3p2p1/2pP2N1/8/3P4/P1P2PPP/R2Q1RK1 b - - 1 13,"{'type': 'cp', 'value': -132}"
r2q1rk1/pp1npp1p/3p2p1/2pP2N1/8/3P4/P1P2PPP/R2Q1RK1 w - - 2 14,"{'type': 'cp', 'value': -81}"
r2q1rk1/pp1npp1p/3p2p1/2pP2N1/3P4/8/P1P2PPP/R2Q1RK1 b - - 0 14,"{'type': 'cp', 'value': -154}"
r2q1rk1/pp1npp1p/3p2p1/3P2N1/2pP4/8/P1P2PPP/R2Q1RK1 w - - 0 15,"{'type': 'cp', 'value': -135}"
r2q1rk1/pp1npp1p/3p2p1/3P2N1/2pP4/2P5/P4PPP/R2Q1RK1 b - - 0 15,"{'type': 'cp', 'value': -214}"
r2q1rk1/pp1n1p1p/3p2p1/3Pp1N1/2pP4/2P5/P4PPP/R2Q1RK1 w - e6 0 16,"{'type': 'cp', 'value': -60}"
r2q1rk1/pp1n1p1p/3p2p1/3Pp1N1/2pP4/2P5/P4PPP/R2QR1K1 b - - 1 16,"{'type': 'cp', 'value': -455}"
r4rk1/pp1n1p1p/3p2p1/3Pp1q1/2pP4/2P5/P4PPP/R2QR1K1 w - - 0 17,"{'type': 'cp', 'value': -457}"
r4rk1/pp1n1p1p/3p2p1/3Pp1q1/Q1pP4/2P5/P4PPP/R3R1K1 b - - 1 17,"{'type': 'cp', 'value': -499}"
r2r2k1/pp1n1p1p/3p2p1/3Pp1q1/Q1pP4/2P5/P4PPP/R3R1K1 w - - 2 18,"{'type': 'cp', 'value': -477}"
r2r2k1/pp1n1p1p/3p2p1/3Pp1q1/2pP4/Q1P5/P4PPP/R3R1K1 b - - 3 18,"{'type': 'cp', 'value': -508}"
r2r2k1/pp1n1p1p/3p2p1/3P2q1/2pp4/Q1P5/P4PPP/R3R1K1 w - - 0 19,"{'type': 'cp', 'value': -527}"
r2r2k1/pp1n1p1p/3p2p1/3P2q1/2pP4/Q7/P4PPP/R3R1K1 b - - 0 19,"{'type': 'cp', 'value': -512}"
r2r2k1/pp1n1p1p/3p2p1/3q4/2pP4/Q7/P4PPP/R3R1K1 w - - 0 20,"{'type': 'cp', 'value': -505}"
r2r2k1/pp1n1p1p/3p2p1/3q4/2pP4/Q7/P4PPP/3RR1K1 b - - 1 20,"{'type': 'cp', 'value': -517}"
r3r1k1/pp1n1p1p/3p2p1/3q4/2pP4/Q7/P4PPP/3RR1K1 w - - 2 21,"{'type': 'cp', 'value': -522}"
r3r1k1/pp1n1p1p/3p2p1/3q4/2pP4/Q3R3/P4PPP/3R2K1 b - - 3 21,"{'type': 'cp', 'value': -530}"
r5k1/pp1n1p1p/3p2p1/3q4/2pP4/Q3r3/P4PPP/3R2K1 w - - 0 22,"{'type': 'cp', 'value': -557}"
r5k1/pp1n1p1p/3p2p1/3q4/2pP4/Q3P3/P5PP/3R2K1 b - - 0 22,"{'type': 'cp', 'value': -585}"
r5k1/p2n1p1p/1p1p2p1/3q4/2pP4/Q3P3/P5PP/3R2K1 w - - 0 23,"{'type': 'cp', 'value': -556}"
r5k1/p2n1p1p/1p1p2p1/3q4/2pP4/Q3P3/P5PP/4R1K1 b - - 1 23,"{'type': 'cp', 'value': -587}"
r5k1/p4p1p/1p1p1np1/3q4/2pP4/Q3P3/P5PP/4R1K1 w - - 2 24,"{'type': 'cp', 'value': -619}"
r5k1/p4p1p/1p1p1np1/3q4/2pP4/2Q1P3/P5PP/4R1K1 b - - 3 24,"{'type': 'cp', 'value': -653}"
r5k1/p4p1p/1p1p2p1/3q4/2pPn3/2Q1P3/P5PP/4R1K1 w - - 4 25,"{'type': 'cp', 'value': -646}"
r5k1/p4p1p/1p1p2p1/3q4/1QpPn3/4P3/P5PP/4R1K1 b - - 5 25,"{'type': 'cp', 'value': -643}"
r5k1/p4p1p/1p1p2p1/3q4/1Q1Pn3/2p1P3/P5PP/4R1K1 w - - 0 26,"{'type': 'cp', 'value': -646}"
r5k1/p4p1p/1p1p2p1/3q4/1Q1Pn3/2p1P3/P5PP/2R3K1 b - - 1 26,"{'type': 'cp', 'value': -670}"
2r3k1/p4p1p/1p1p2p1/3q4/1Q1Pn3/2p1P3/P5PP/2R3K1 w - - 2 27,"{'type': 'cp', 'value': -628}"
2r3k1/p4p1p/1p1p2p1/3q4/Q2Pn3/2p1P3/P5PP/2R3K1 b - - 3 27,"{'type': 'cp', 'value': -755}"
2r3k1/5p1p/1p1p2p1/p2q4/Q2Pn3/2p1P3/P5PP/2R3K1 w - - 0 28,"{'type': 'cp', 'value': -628}"
2r3k1/3Q1p1p/1p1p2p1/p2q4/3Pn3/2p1P3/P5PP/2R3K1 b - - 1 28,"{'type': 'cp', 'value': -640}"
5rk1/3Q1p1p/1p1p2p1/p2q4/3Pn3/2p1P3/P5PP/2R3K1 w - - 2 29,"{'type': 'cp', 'value': -630}"
5rk1/Q4p1p/1p1p2p1/p2q4/3Pn3/2p1P3/P5PP/2R3K1 b - - 3 29,"{'type': 'cp', 'value': -641}"
5rk1/Q4p1p/1p1p2p1/p7/3Pn3/2p1P3/q5PP/2R3K1 w - - 0 30,"{'type': 'cp', 'value': -727}"
5rk1/5p1p/1Q1p2p1/p7/3Pn3/2p1P3/q5PP/2R3K1 b - - 0 30,"{'type': 'cp', 'value': -971}"
5rk1/5p1p/1Q1p2p1/p7/3Pn3/2p1P3/5qPP/2R3K1 w - - 1 31,"{'type': 'cp', 'value': -777}"
5rk1/5p1p/1Q1p2p1/p7/3Pn3/2p1P3/5qPP/2R4K b - - 2 31,"{'type': 'cp', 'value': -769}"
5rk1/5p1p/1Q1p2p1/p7/3Pn3/2p1P3/3q2PP/2R4K w - - 3 32,"{'type': 'cp', 'value': -746}"
5rk1/5p1p/1Q1p2p1/p7/3Pn3/2p1P3/3q2PP/6RK b - - 4 32,"{'type': 'mate', 'value': -1}"
5rk1/5p1p/1Q1p2p1/p7/3P4/2p1P3/3q1nPP/6RK w - - 5 33,"{'type': 'mate', 'value': 0}"
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,"{'type': 'cp', 'value': 39}"
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,"{'type': 'cp', 'value': 23}"
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,"{'type': 'cp', 'value': 24}"
rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,"{'type': 'cp', 'value': 26}"
rnbqkbnr/ppp1pppp/8/8/2pP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,"{'type': 'cp', 'value': 35}"
rnbqkbnr/ppp1pppp/8/8/2pPP3/8/PP3PPP/RNBQKBNR b KQkq - 0 3,"{'type': 'cp', 'value': 43}"
rnbqkbnr/p1p1pppp/8/1p6/2pPP3/8/PP3PPP/RNBQKBNR w KQkq - 0 4,"{'type': 'cp', 'value': 76}"
rnbqkbnr/p1p1pppp/8/1p6/2pPP3/N7/PP3PPP/R1BQKBNR b KQkq - 1 4,"{'type': 'cp', 'value': -173}"
rnbqkbnr/2p1pppp/p7/1p6/2pPP3/N7/PP3PPP/R1BQKBNR w KQkq - 0 5,"{'type': 'cp', 'value': -190}"
rnbqkbnr/2p1pppp/p7/1p6/2pPP3/N4Q2/PP3PPP/R1B1KBNR b KQkq - 1 5,"{'type': 'cp', 'value': -293}"
rnbqkbnr/2p1p1pp/p4p2/1p6/2pPP3/N4Q2/PP3PPP/R1B1KBNR w KQkq - 0 6,"{'type': 'cp', 'value': -56}"
rnbqkbnr/2p1p1pp/p4p2/1p2P3/2pP4/N4Q2/PP3PPP/R1B1KBNR b KQkq - 0 6,"{'type': 'cp', 'value': -66}"
rnbqkbnr/2p1p1pp/p7/1p2p3/2pP4/N4Q2/PP3PPP/R1B1KBNR w KQkq - 0 7,"{'type': 'cp', 'value': 304}"
Qnbqkbnr/2p1p1pp/p7/1p2p3/2pP4/N7/PP3PPP/R1B1KBNR b KQk - 0 7,"{'type': 'cp', 'value': 310}"
Q1bqkbnr/2pnp1pp/p7/1p2p3/2pP4/N7/PP3PPP/R1B1KBNR w KQk - 1 8,"{'type': 'cp', 'value': 324}"
Q1bqkbnr/2pnp1pp/p7/1p2P3/2p5/N7/PP3PPP/R1B1KBNR b KQk - 0 8,"{'type': 'cp', 'value': 358}"
Q1bqkbnr/2p1p1pp/p7/1p2n3/2p5/N7/PP3PPP/R1B1KBNR w KQk - 0 9,"{'type': 'cp', 'value': 384}"
2bqkbnr/2p1p1pp/p7/1p2n3/2p5/N4Q2/PP3PPP/R1B1KBNR b KQk - 1 9,"{'type': 'cp', 'value': -374}"
2b1kbnr/2p1p1pp/p7/1p2n3/2pq4/N4Q2/PP3PPP/R1B1KBNR w KQk - 2 10,"{'type': 'cp', 'value': 397}"
2b1kbnr/2p1p1pp/p7/1p2n2Q/2pq4/N7/PP3PPP/R1B1KBNR b KQk - 3 10,"{'type': 'cp', 'value': 247}"
2b1kbnr/2p1p2p/p5p1/1p2n2Q/2pq4/N7/PP3PPP/R1B1KBNR w KQk - 0 11,"{'type': 'cp', 'value': 232}"
2b1kbnr/2p1p2p/p5p1/1p2n3/2pq4/N7/PP3PPP/R1BQKBNR b KQk - 1 11,"{'type': 'cp', 'value': 243}"
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,"{'type': 'cp', 'value': 39}"
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,"{'type': 'cp', 'value': 23}"
rnbqkbnr/pppppp1p/6p1/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,"{'type': 'cp', 'value': 62}"
rnbqkbnr/pppppp1p/6p1/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,"{'type': 'cp', 'value': 70}"
rnbqk1nr/ppppppbp/6p1/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 1 3,"{'type': 'cp', 'value': 58}"
rnbqk1nr/ppppppbp/6p1/8/3PPB2/8/PPP2PPP/RN1QKBNR b KQkq - 2 3,"{'type': 'cp', 'value': -2}"
rnbqk1nr/pppp1pbp/4p1p1/8/3PPB2/8/PPP2PPP/RN1QKBNR w KQkq - 0 4,"{'type': 'cp', 'value': 96}"
rnbqk1nr/pppp1pbp/4p1p1/8/2BPPB2/8/PPP2PPP/RN1QK1NR b KQkq - 1 4,"{'type': 'cp', 'value': 12}"
rnbqk2r/ppppnpbp/4p1p1/8/2BPPB2/8/PPP2PPP/RN1QK1NR w KQkq - 2 5,"{'type': 'cp', 'value': 39}"
rnbqk2r/ppppnpbp/4p1p1/8/2BPPB2/5N2/PPP2PPP/RN1QK2R b KQkq - 3 5,"{'type': 'cp', 'value': 12}"
rnbqk2r/ppppnpb1/4p1pp/8/2BPPB2/5N2/PPP2PPP/RN1QK2R w KQkq - 0 6,"{'type': 'cp', 'value': 73}"
rnbqk2r/ppppnpb1/4p1pp/4N3/2BPPB2/8/PPP2PPP/RN1QK2R b KQkq - 1 6,"{'type': 'cp', 'value': -32}"
rnbq1rk1/ppppnpb1/4p1pp/4N3/2BPPB2/8/PPP2PPP/RN1QK2R w KQ - 2 7,"{'type': 'cp', 'value': 11}"
rnbq1rk1/ppppnpb1/4p1pp/4N3/2BPPBQ1/8/PPP2PPP/RN2K2R b KQ - 3 7,"{'type': 'cp', 'value': -303}"
rnbq1rk1/ppp1npb1/4p1pp/3pN3/2BPPBQ1/8/PPP2PPP/RN2K2R w KQ - 0 8,"{'type': 'cp', 'value': -155}"
rnbq1rk1/ppp1npb1/4p1pp/3PN3/2BP1BQ1/8/PPP2PPP/RN2K2R b KQ - 0 8,"{'type': 'cp', 'value': -464}"
rnbq1rk1/ppp1npb1/6pp/3pN3/2BP1BQ1/8/PPP2PPP/RN2K2R w KQ - 0 9,"{'type': 'cp', 'value': -469}"
rnbq1rk1/ppp1npb1/6pp/3pN3/3P1BQ1/3B4/PPP2PPP/RN2K2R b KQ - 1 9,"{'type': 'cp', 'value': -590}"
rn1q1rk1/ppp1npb1/6pp/3pN3/3P1Bb1/3B4/PPP2PPP/RN2K2R w KQ - 0 10,"{'type': 'cp', 'value': -589}"
rn1q1rk1/ppp1npb1/6Bp/3pN3/3P1Bb1/8/PPP2PPP/RN2K2R b KQ - 0 10,"{'type': 'cp', 'value': -834}"
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,"{'type': 'cp', 'value': 39}"
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,"{'type': 'cp', 'value': 23}"
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,"{'type': 'cp', 'value': 25}"
rnbqkb1r/pppppppp/5n2/8/3P4/2N5/PPP1PPPP/R1BQKBNR b KQkq - 2 2,"{'type': 'cp', 'value': -16}"
rnbqkb1r/ppp1pppp/3p1n2/8/3P4/2N5/PPP1PPPP/R1BQKBNR w KQkq - 0 3,"{'type': 'cp', 'value': 45}"
rnbqkb1r/ppp1pppp/3p1n2/3P4/8/2N5/PPP1PPPP/R1BQKBNR b KQkq - 0 3,"{'type': 'cp', 'value': -10}"
rnbqkb1r/ppp1pp1p/3p1np1/3P4/8/2N5/PPP1PPPP/R1BQKBNR w KQkq - 0 4,"{'type': 'cp', 'value': 2}"
rnbqkb1r/ppp1pp1p/3p1np1/3P4/4P3/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 4,"{'type': 'cp', 'value': 2}"
rnbqk2r/ppp1ppbp/3p1np1/3P4/4P3/2N5/PPP2PPP/R1BQKBNR w KQkq - 1 5,"{'type': 'cp', 'value': -2}"
rnbqk2r/ppp1ppbp/3p1np1/3P4/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 2 5,"{'type': 'cp', 'value': 3}"
rnbq1rk1/ppp1ppbp/3p1np1/3P4/4P3/2N2N2/PPP2PPP/R1BQKB1R w KQ - 3 6,"{'type': 'cp', 'value': 3}"
rnbq1rk1/ppp1ppbp/3p1np1/3P2N1/4P3/2N5/PPP2PPP/R1BQKB1R b KQ - 4 6,"{'type': 'cp', 'value': -52}"
rnbq1rk1/1pp1ppbp/p2p1np1/3P2N1/4P3/2N5/PPP2PPP/R1BQKB1R w KQ - 0 7,"{'type': 'cp', 'value': -31}"
rnbq1rk1/1pp1ppbp/p2p1np1/3P2N1/4P3/2N2Q2/PPP2PPP/R1B1KB1R b KQ - 1 7,"{'type': 'cp', 'value': -146}"
rnbq1rk1/1p2ppbp/p1pp1np1/3P2N1/4P3/2N2Q2/PPP2PPP/R1B1KB1R w KQ - 0 8,"{'type': 'cp', 'value': -149}"
rnbq1rk1/1p2ppbp/p1pp1np1/3P2N1/4P3/2N3Q1/PPP2PPP/R1B1KB1R b KQ - 1 8,"{'type': 'cp', 'value': -175}"
rnbq1rk1/4ppbp/p1pp1np1/1p1P2N1/4P3/2N3Q1/PPP2PPP/R1B1KB1R w KQ - 0 9,"{'type': 'cp', 'value': -177}"
