FEN,Evaluation
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"{'type': 'cp', 'value': 42}"
rnbqkbnr/pppp1ppp/4p3/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,"{'type': 'cp', 'value': 35}"
rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,"{'type': 'cp', 'value': 40}"
rnbqkbnr/ppp2ppp/4p3/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,"{'type': 'cp', 'value': 35}"
rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,"{'type': 'cp', 'value': 39}"
rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/2P5/PP3PPP/RNBQKBNR b KQkq - 0 4,"{'type': 'cp', 'value': 31}"
r1bqkbnr/pp3ppp/2n1p3/2ppP3/3P4/2P5/PP3PPP/RNBQKBNR w KQkq - 1 5,"{'type': 'cp', 'value': 39}"
r1bqkbnr/pp3ppp/2n1p3/2ppP3/3P4/2P2N2/PP3PPP/RNBQKB1R b KQkq - 2 5,"{'type': 'cp', 'value': 28}"
r1b1kbnr/pp3ppp/1qn1p3/2ppP3/3P4/2P2N2/PP3PPP/RNBQKB1R w KQkq - 3 6,"{'type': 'cp', 'value': 37}"
r1b1kbnr/pp3ppp/1qn1p3/2ppP3/3P4/2P1BN2/PP3PPP/RN1QKB1R b KQkq - 4 6,"{'type': 'cp', 'value': -123}"
r1b1kbnr/pp3ppp/2n1p3/2ppP3/3P4/2P1BN2/Pq3PPP/RN1QKB1R w KQkq - 0 7,"{'type': 'cp', 'value': -121}"
r1b1kbnr/pp3ppp/2n1p3/2ppP3/3P4/2P1BN2/Pq1N1PPP/R2QKB1R b KQkq - 1 7,"{'type': 'cp', 'value': -176}"
r1b1kbnr/pp3ppp/2n1p3/3pP3/3p4/2P1BN2/Pq1N1PPP/R2QKB1R w KQkq - 0 8,"{'type': 'cp', 'value': -40}"
r1b1kbnr/pp3ppp/2n1p3/3pP3/3P4/4BN2/Pq1N1PPP/R2QKB1R b KQkq - 0 8,"{'type': 'cp', 'value': -60}"
r1b1kbnr/pp3ppp/4p3/3pP3/1n1P4/4BN2/Pq1N1PPP/R2QKB1R w KQkq - 1 9,"{'type': 'cp', 'value': 116}"
r1b1kbnr/pp3ppp/4p3/3pP3/1n1P4/4BN2/Pq1N1PPP/1R1QKB1R b Kkq - 2 9,"{'type': 'cp', 'value': -195}"
r1b1kbnr/pp3ppp/4p3/3pP3/1n1P4/4BN2/q2N1PPP/1R1QKB1R w Kkq - 0 10,"{'type': 'cp', 'value': -66}"
r1b1kbnr/pp3ppp/4p3/3pP3/1n1P4/1Q2BN2/q2N1PPP/1R2KB1R b Kkq - 1 10,"{'type': 'cp', 'value': -292}"
r1b1kbnr/pp3ppp/4p3/3pP3/1n1P4/1q2BN2/3N1PPP/1R2KB1R w Kkq - 0 11,"{'type': 'cp', 'value': -295}"
r1b1kbnr/pp3ppp/4p3/3pP3/1n1P4/1N2BN2/5PPP/1R2KB1R b Kkq - 0 11,"{'type': 'cp', 'value': -284}"
r1b1kbnr/pp3ppp/4p3/3pP3/3P4/1N2BN2/2n2PPP/1R2KB1R w Kkq - 1 12,"{'type': 'cp', 'value': -267}"
r1b1kbnr/pp3ppp/4p3/3pP3/3P4/1N2BN2/2n2PPP/1R1K1B1R b kq - 2 12,"{'type': 'cp', 'value': -247}"
r1b1kbnr/pp3ppp/4p3/3pP3/3P4/1N2nN2/5PPP/1R1K1B1R w kq - 0 13,"{'type': 'cp', 'value': -223}"
r1b1kbnr/pp3ppp/4p3/3pP3/3P4/1N2PN2/6PP/1R1K1B1R b kq - 0 13,"{'type': 'cp', 'value': -212}"
r1b1kb1r/pp2nppp/4p3/3pP3/3P4/1N2PN2/6PP/1R1K1B1R w kq - 1 14,"{'type': 'cp', 'value': -159}"
r1b1kb1r/pp2nppp/4p3/2NpP3/3P4/4PN2/6PP/1R1K1B1R b kq - 2 14,"{'type': 'cp', 'value': -158}"
r1b1kb1r/pp3ppp/4p3/2NpPn2/3P4/4PN2/6PP/1R1K1B1R w kq - 3 15,"{'type': 'cp', 'value': -96}"
r1b1kb1r/pp3ppp/4p3/2NpPn2/3PP3/5N2/6PP/1R1K1B1R b kq - 0 15,"{'type': 'cp', 'value': -264}"
r1b1kb1r/pp3ppp/4p3/2N1Pn2/3Pp3/5N2/6PP/1R1K1B1R w kq - 0 16,"{'type': 'cp', 'value': -152}"
r1b1kb1r/pp3ppp/4p3/4Pn2/3PN3/5N2/6PP/1R1K1B1R b kq - 0 16,"{'type': 'cp', 'value': -205}"
r1b1kb1r/pp3ppp/4p3/4P3/3PN3/4nN2/6PP/1R1K1B1R w kq - 1 17,"{'type': 'cp', 'value': -162}"
r1b1kb1r/pp3ppp/4p3/4P3/3PN3/4nN2/4K1PP/1R3B1R b kq - 2 17,"{'type': 'cp', 'value': -216}"
r1b1kb1r/pp3ppp/4p3/4P3/3PN3/5N2/4K1PP/1R3n1R w kq - 0 18,"{'type': 'cp', 'value': -171}"
r1b1kb1r/pp3ppp/4p3/4P3/3PN3/5N2/4K1PP/1R3R2 b kq - 0 18,"{'type': 'cp', 'value': -163}"
r1b1kb1r/p4ppp/1p2p3/4P3/3PN3/5N2/4K1PP/1R3R2 w kq - 0 19,"{'type': 'cp', 'value': -204}"
r1b1kb1r/p4ppp/1p2p3/4P3/3P4/5N2/3NK1PP/1R3R2 b kq - 1 19,"{'type': 'cp', 'value': -483}"
r3kb1r/p4ppp/bp2p3/4P3/3P4/5N2/3NK1PP/1R3R2 w kq - 2 20,"{'type': 'cp', 'value': -470}"
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,"{'type': 'cp', 'value': 39}"
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"{'type': 'cp', 'value': 35}"
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"{'type': 'cp', 'value': 42}"
rnbqkbnr/pppp1ppp/4p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,"{'type': 'cp', 'value': 30}"
rnbqkbnr/ppp2ppp/4p3/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,"{'type': 'cp', 'value': 34}"
rnbqkbnr/ppp2ppp/4p3/3P4/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 3,"{'type': 'cp', 'value': 19}"
rnbqkbnr/ppp2ppp/8/3p4/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 4,"{'type': 'cp', 'value': 21}"
rnbqkbnr/ppp2ppp/8/3p4/8/5N2/PPPPQPPP/RNB1KB1R b KQkq - 1 4,"{'type': 'cp', 'value': -43}"
rnbqk1nr/ppp1bppp/8/3p4/8/5N2/PPPPQPPP/RNB1KB1R w KQkq - 2 5,"{'type': 'cp', 'value': -41}"
rnbqk1nr/ppp1bppp/8/3p4/8/2N2N2/PPPPQPPP/R1B1KB1R b KQkq - 3 5,"{'type': 'cp', 'value': -57}"
rnbqk2r/ppp1bppp/5n2/3p4/8/2N2N2/PPPPQPPP/R1B1KB1R w KQkq - 4 6,"{'type': 'cp', 'value': -61}"
rnbqk2r/ppp1bppp/5n2/3p4/3P4/2N2N2/PPP1QPPP/R1B1KB1R b KQkq - 0 6,"{'type': 'cp', 'value': -54}"
rnbq1rk1/ppp1bppp/5n2/3p4/3P4/2N2N2/PPP1QPPP/R1B1KB1R w KQ - 1 7,"{'type': 'cp', 'value': -50}"
rnbq1rk1/ppp1bppp/5n2/3p4/3P2P1/2N2N2/PPP1QP1P/R1B1KB1R b KQ - 0 7,"{'type': 'cp', 'value': -246}"
rn1q1rk1/ppp1bppp/5n2/3p4/3P2b1/2N2N2/PPP1QP1P/R1B1KB1R w KQ - 0 8,"{'type': 'cp', 'value': -277}"
rn1q1rk1/ppp1bppp/5n2/3p4/3P2b1/2N2N2/PPP1QPBP/R1B1K2R b KQ - 1 8,"{'type': 'cp', 'value': -281}"
r2q1rk1/pppnbppp/5n2/3p4/3P2b1/2N2N2/PPP1QPBP/R1B1K2R w KQ - 2 9,"{'type': 'cp', 'value': -250}"
r2q1rk1/pppnbppp/5n2/3p4/3P2b1/2N2N2/PPP1QPBP/R1B2RK1 b - - 3 9,"{'type': 'cp', 'value': -289}"
r2q1rk1/pp1nbppp/2p2n2/3p4/3P2b1/2N2N2/PPP1QPBP/R1B2RK1 w - - 0 10,"{'type': 'cp', 'value': -300}"
r2q1rk1/pp1nbppp/2p2n2/3p4/3P2b1/2N2N1P/PPP1QPB1/R1B2RK1 b - - 0 10,"{'type': 'cp', 'value': -303}"
r2q1rk1/pp1nbppp/2p2n2/3p3b/3P4/2N2N1P/PPP1QPB1/R1B2RK1 w - - 1 11,"{'type': 'cp', 'value': -298}"
r2q1rk1/pp1nbppp/2p2n2/3p3b/3P1B2/2N2N1P/PPP1QPB1/R4RK1 b - - 2 11,"{'type': 'cp', 'value': -300}"
r2qr1k1/pp1nbppp/2p2n2/3p3b/3P1B2/2N2N1P/PPP1QPB1/R4RK1 w - - 3 12,"{'type': 'cp', 'value': -297}"
r2qr1k1/pp1nbppp/2p2n2/3p3b/3P1B2/2N2N1P/PPP1QPB1/R3R1K1 b - - 4 12,"{'type': 'cp', 'value': -307}"
r2qr1k1/pp1n1ppp/2pb1n2/3p3b/3P1B2/2N2N1P/PPP1QPB1/R3R1K1 w - - 5 13,"{'type': 'cp', 'value': -312}"
r2qr1k1/pp1n1ppp/2pb1n2/3p3b/3P4/2N1BN1P/PPP1QPB1/R3R1K1 b - - 6 13,"{'type': 'cp', 'value': -424}"
r2qr1k1/pp3ppp/1npb1n2/3p3b/3P4/2N1BN1P/PPP1QPB1/R3R1K1 w - - 7 14,"{'type': 'cp', 'value': -325}"
r2qr1k1/pp3ppp/1npb1n2/3p2Nb/3P4/2N1B2P/PPP1QPB1/R3R1K1 b - - 8 14,"{'type': 'cp', 'value': -660}"
r2qr1k1/pp3pp1/1npb1n1p/3p2Nb/3P4/2N1B2P/PPP1QPB1/R3R1K1 w - - 0 15,"{'type': 'cp', 'value': -454}"
